event_id,matchup,home_team,away_team,venue,address,state,date,start_Time,min_Price,max_Price
78,Phoenix Suns vs. New York Knicks,Phoenix Suns,New York Knicks,Phoenix Suns Arena (formerly Talking Stick Resort Arena),201 East Jefferson Street,AZ,2021-05-07,19:00:00,55,303
79,Charlotte Hornets vs. LA Clippers,Charlotte Hornets,LA Clippers,Spectrum Center ,333 East Trade Street,NC,2021-05-13,19:00:00,2,289
80,Charlotte Hornets vs. Chicago Bulls,Charlotte Hornets,Chicago Bulls,Spectrum Center ,333 East Trade Street,NC,2021-05-06,19:00:00,2,199
81,San Antonio Spurs vs. Detroit Pistons,San Antonio Spurs,Detroit Pistons,AT&T Center,1 AT&T Center,TX,2021-04-22,19:30:00,12,1000
82,Brooklyn Nets vs. Chicago Bulls,Brooklyn Nets,Chicago Bulls,Barclays Center,620 Atlantic Ave,NY,2021-05-15, ,89,2860
83,New York Knicks vs. Atlanta Hawks,New York Knicks,Atlanta Hawks,Madison Square Garden,7th Ave & 32nd Street,NY,2021-04-21,20:00:00,50,3500
84,Brooklyn Nets vs. Cleveland Cavaliers,Brooklyn Nets,Cleveland Cavaliers,Barclays Center,620 Atlantic Ave,NY,2021-05-16, ,69,2860
85,New York Knicks vs. Boston Celtics,New York Knicks,Boston Celtics,Madison Square Garden,7th Ave & 32nd Street,NY,2021-05-16, ,95,4500
86,New York Knicks vs. Toronto Raptors,New York Knicks,Toronto Raptors,Madison Square Garden,7th Ave & 32nd Street,NY,2021-04-24,13:00:00,90,3500
87,New York Knicks vs. Phoenix Suns,New York Knicks,Phoenix Suns,Madison Square Garden,7th Ave & 32nd Street,NY,2021-04-26,19:30:00,90,3500
88,New York Knicks vs. Charlotte Hornets,New York Knicks,Charlotte Hornets,Madison Square Garden,7th Ave & 32nd Street,NY,2021-04-20,19:30:00,50,3000
89,New York Knicks vs. Chicago Bulls,New York Knicks,Chicago Bulls,Madison Square Garden,7th Ave & 32nd Street,NY,2021-04-28,19:30:00,70,3500
90,New York Knicks vs. Charlotte Hornets,New York Knicks,Charlotte Hornets,Madison Square Garden,7th Ave & 32nd Street,NY,2021-05-15, ,80,3000
91,New York Knicks vs. San Antonio Spurs,New York Knicks,San Antonio Spurs,Madison Square Garden,7th Ave & 32nd Street,NY,2021-05-13,19:30:00,70,3000
92,Denver Nuggets vs. Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,Ball Arena,1000 Chopper Circle,CO,2021-04-19,19:00:00,32,999
93,Denver Nuggets vs. Houston Rockets,Denver Nuggets,Houston Rockets,Ball Arena,1000 Chopper Circle,CO,2021-04-24,20:00:00,46,999
94,Detroit Pistons vs. Denver Nuggets,Detroit Pistons,Denver Nuggets,Little Caesars Arena,2645 Woodward,MI,2021-05-14,20:00:00,34,2085
95,Denver Nuggets vs. Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,Ball Arena,1000 Chopper Circle,CO,2021-04-26,19:00:00,32,999
96,Denver Nuggets vs. Toronto Raptors,Denver Nuggets,Toronto Raptors,Ball Arena,1000 Chopper Circle,CO,2021-04-29,19:00:00,32,999
97,Los Angeles Lakers vs. Denver Nuggets,Los Angeles Lakers,Denver Nuggets,STAPLES Center,1111 S. Figueroa St,CA,2021-05-03,19:00:00,45,654
98,Denver Nuggets vs. New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans,Ball Arena,1000 Chopper Circle,CO,2021-04-28,19:00:00,55,999
99,Denver Nuggets vs. New York Knicks,Denver Nuggets,New York Knicks,Ball Arena,1000 Chopper Circle,CO,2021-05-05,19:00:00,46,999
100,Golden State Warriors vs. Denver Nuggets,Golden State Warriors,Denver Nuggets,Chase Center,300 16th Street,CA,2021-04-23,19:00:00,80,3500
101,Charlotte Hornets vs. Denver Nuggets,Charlotte Hornets,Denver Nuggets,Spectrum Center ,333 East Trade Street,NC,2021-05-11,19:00:00,2,225
102,Denver Nuggets vs. Brooklyn Nets,Denver Nuggets,Brooklyn Nets,Ball Arena,1000 Chopper Circle,CO,2021-05-08,20:00:00,69,999
103,Orlando Magic vs. Indiana Pacers,Orlando Magic,Indiana Pacers,Amway Center,400 W Church St.,FL,2021-04-25,20:00:00,17.25,1796.5
104,Orlando Magic vs. Memphis Grizzlies,Orlando Magic,Memphis Grizzlies,Amway Center,400 W Church St.,FL,2021-05-01,20:00:00,26,1996.5
105,Orlando Magic vs. New Orleans Pelicans,Orlando Magic,New Orleans Pelicans,Amway Center,400 W Church St.,FL,2021-04-22,19:00:00,26,1996.5
106,Milwaukee Bucks vs. Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-04-19,19:00:00,40,600
107,Orlando Magic vs. Minnesota Timberwolves,Orlando Magic,Minnesota Timberwolves,Amway Center,400 W Church St.,FL,2021-05-09,19:00:00,17.25,1796.5
108,Milwaukee Bucks vs. Miami Heat,Milwaukee Bucks,Miami Heat,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-15, ,46,600
109,Milwaukee Bucks vs. Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-04-24,14:30:00,54,600
110,Milwaukee Bucks vs. Orlando Magic,Milwaukee Bucks,Orlando Magic,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-11,20:00:00,40,600
111,Milwaukee Bucks vs. Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-04-22,18:00:00,40,600
112,Sacramento Kings vs. Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves,Golden 1 Center,500 David J Stern Walk,CA,2021-04-21,19:00:00,22,355
113,Atlanta Hawks vs. Miami Heat,Atlanta Hawks,Miami Heat,State Farm Arena,One State Farm Drive,GA,2021-04-23,19:30:00,55,999
114,Sacramento Kings vs. Utah Jazz,Sacramento Kings,Utah Jazz,Golden 1 Center,500 David J Stern Walk,CA,2021-04-28,19:00:00,22,355
115,Atlanta Hawks vs. Milwaukee Bucks,Atlanta Hawks,Milwaukee Bucks,State Farm Arena,One State Farm Drive,GA,2021-04-25,19:30:00,39,999
116,Atlanta Hawks vs. Orlando Magic,Atlanta Hawks,Orlando Magic,State Farm Arena,One State Farm Drive,GA,2021-04-20,19:30:00,19,999
117,Indiana Pacers vs. San Antonio Spurs,Indiana Pacers,San Antonio Spurs,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-04-19,20:00:00,9,234
118,Miami Heat vs. Minnesota Timberwolves,Miami Heat,Minnesota Timberwolves,AmericanAirlines Arena,601 Biscayne Blvd,FL,2021-05-07,20:00:00,20,320
119,Atlanta Hawks vs. Phoenix Suns,Atlanta Hawks,Phoenix Suns,State Farm Arena,One State Farm Drive,GA,2021-05-05,20:00:00,25,999
120,Miami Heat vs. San Antonio Spurs,Miami Heat,San Antonio Spurs,AmericanAirlines Arena,601 Biscayne Blvd,FL,2021-04-28,20:00:00,15,285
121,Atlanta Hawks vs. Orlando Magic,Atlanta Hawks,Orlando Magic,State Farm Arena,One State Farm Drive,GA,2021-05-13,19:30:00,19,999
122,Memphis Grizzlies vs. Orlando Magic,Memphis Grizzlies,Orlando Magic,FedExForum,191 Beale Street,TN,2021-04-30,19:00:00,23,204
123,Milwaukee Bucks vs. Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-02,14:30:00,70,660
124,Miami Heat vs. Philadelphia 76ers,Miami Heat,Philadelphia 76ers,AmericanAirlines Arena,601 Biscayne Blvd,FL,2021-05-13,19:30:00,20,320
